Unique Identifier,"Carnegie Classification of Institutions of Higher Education (if your institution fits within a larger/home organization that has a Carnegie Classification, please indicate here)","If your home organization does not have a Carnegie Classification, please indicate your institution type:","If your home organization does not have a Carnegie Classification, please indicate your institution type: Other (please specify)",Are you responsible for purchasing or pledging financial support for digital content for your institution? Yes or No,Are you responsible for purchasing or pledging financial support for digital content for your institution? Other (please specify),Does your institution have an accessibility policy for digital content acquisition?,Does your institution have an accessibility policy for digital content acquisition? Other (please specify),Which mandate(s) inform your accessibility policy for content acquisition? Please select all that apply. Section 508 of the Rehabilitation Act of 1973,Which mandate(s) inform your accessibility policy for content acquisition? Please select all that apply. Americans with Disabilities Act,Which mandate(s) inform your accessibility policy for content acquisition? Please select all that apply. World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),Which mandate(s) inform your accessibility policy for content acquisition? Please select all that apply. State law governing my institution,Which mandate(s) inform your accessibility policy for content acquisition? Please select all that apply. Non-legal internal mandate,Which mandate(s) inform your accessibility policy for content acquisition? Please select all that apply. Non-legal institution-wide mandate,Which mandate(s) inform your accessibility policy for content acquisition? Please select all that apply. Other (please specify),Do you have a timeline for implementing your accessibility policy for content acquisition?,Do you have a timeline for implementing your accessibility policy for content acquisition? Other (please specify),"Who is responsible for updating your accessibility policy for content acquisition, and how often is it audited/updated?",What documentation do you request from content providers to enforce your accessibility policy? Please select all that apply. VPAT,What documentation do you request from content providers to enforce your accessibility policy? Please select all that apply. Accessibility Statement,What documentation do you request from content providers to enforce your accessibility policy? Please select all that apply. Accessibility language required for content license,What documentation do you request from content providers to enforce your accessibility policy? Please select all that apply. None,What documentation do you request from content providers to enforce your accessibility policy? Please select all that apply. Other (please specify),What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. In-person training from other staff,What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. In-person training from external areas of the institution,What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. In-person training from outside of the institution,What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. Webinars/on-line courses,What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. Conferences/workshops,What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. Self-training,What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. None,What training has been provided to help staff understand and implement your accessibility policy for content acquisition? Please select all that apply. Other (please specify),"If your institution provides financial support for the creation of Open Access (OA) content, are you held to the same accessibility mandates as for licensed content?","If your institution provides financial support for the creation of Open Access (OA) content, are you held to the same accessibility mandates as for licensed content? Other (please specify)",How is your accessibility policy for content acquisition enforced?,Are you responsible for creating or collating digital content from within your institution? Yes or No,Are you responsible for creating or collating digital content from within your institution?  Other (please specify),What type of content are you creating and making available for your community? Please select all that apply. Theses and Dissertations,What type of content are you creating and making available for your community? Please select all that apply. Journals,What type of content are you creating and making available for your community? Please select all that apply. Monographs,What type of content are you creating and making available for your community? Please select all that apply. Born digital or digitized archival/special collections materials,What type of content are you creating and making available for your community? Please select all that apply. Scholarly articles/publications,What type of content are you creating and making available for your community? Please select all that apply. Audio/video content,What type of content are you creating and making available for your community? Please select all that apply. Other campus publications,Does your institution have an accessibility policy in place that applies to the content you create and make available on the World Wide Web?,Does your institution have an accessibility policy in place that applies to the content you create and make available on the World Wide Web? Other (please specify),Which mandate(s) inform your accessibility policy for content creation? Please select all that apply. Section 508 of the Rehabilitation Act of 1973,Which mandate(s) inform your accessibility policy for content creation? Please select all that apply. Americans with Disabilities Act,Which mandate(s) inform your accessibility policy for content creation? Please select all that apply. World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),Which mandate(s) inform your accessibility policy for content creation? Please select all that apply. State law governing my institution,Which mandate(s) inform your accessibility policy for content creation? Please select all that apply. Non-legal internal mandate,Which mandate(s) inform your accessibility policy for content creation? Please select all that apply. Non-legal institution-wide mandate,Which mandate(s) inform your accessibility policy for content creation? Please select all that apply. Other (please specify),Do you have a timeline for implementing your accessibility policy for content creation?,Do you have a timeline for implementing your accessibility policy for content creation? Other (please specify),"Who is responsible for updating your accessibility policy for content creation, and how often is it audited/updated?",Which tools/resources do you use to ensure your content conforms to the accessibility policy? WebAIM,Which tools/resources do you use to ensure your content conforms to the accessibility policy? WAVE Web Accessibility Evaluation Tool,Which tools/resources do you use to ensure your content conforms to the accessibility policy? AXE Accessibility,Which tools/resources do you use to ensure your content conforms to the accessibility policy? Built in screen reader(s),Which tools/resources do you use to ensure your content conforms to the accessibility policy? Manually tabbing through webpages,Which tools/resources do you use to ensure your content conforms to the accessibility policy? Accessibility features found in web browsers,Which tools/resources do you use to ensure your content conforms to the accessibility policy? None,Which tools/resources do you use to ensure your content conforms to the accessibility policy? ther (please specify),What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. In-person training from other staff,What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. In-person training from external areas of the institution,What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. In-person training from outside of the institution,What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. Webinars/on-line courses,What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. Conferences/workshops,What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. Self-training,What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. None,What training has been provided to help staff understand and implement your accessibility policy for content creation? Please select all that apply. Other (please specify),How is your accessibility policy for content creation enforced?,"Are you responsible for purchasing, acquiring or creating systems within your institution? Yes or No","Are you responsible for purchasing, acquiring or creating systems within your institution? Other (please specify)",Does your institution have an accessibility policy for determining which systems will be used to host content on the World Wide Web?,Does your institution have an accessibility policy for determining which systems will be used to host content on the World Wide Web? Other (please specify),Which mandate(s) inform your accessibility policy for systems? Please select all that apply. Section 508 of the Rehabilitation Act of 1973,Which mandate(s) inform your accessibility policy for systems? Please select all that apply. Americans with Disabilities Act,Which mandate(s) inform your accessibility policy for systems? Please select all that apply. World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),Which mandate(s) inform your accessibility policy for systems? Please select all that apply. State law governing my institution,Which mandate(s) inform your accessibility policy for systems? Please select all that apply. Non-legal internal mandate,Which mandate(s) inform your accessibility policy for systems? Please select all that apply. Non-legal institution-wide mandate,Which mandate(s) inform your accessibility policy for systems? Please select all that apply. Other (please specify),Do you have a timeline for implementing your accessibility policy for systems?,Do you have a timeline for implementing your accessibility policy for systems? Other (please specify),"Who is responsible for updating your accessibility policy for systems, and how often is it audited/updated?",Which tools/resources do you use to ensure your content conforms to the accessibility policy for systems? WebAIM,Which tools/resources do you use to ensure your content conforms to the accessibility policy  for systems? WAVE Web Accessibility Evaluation Tool,Which tools/resources do you use to ensure your content conforms to the accessibility policy for systems? AXE Accessibility,Which tools/resources do you use to ensure your content conforms to the accessibility policy for systems? Built in screen reader(s),Which tools/resources do you use to ensure your content conforms to the accessibility policy for systems? Manually tabbing through webpages,Which tools/resources do you use to ensure your content conforms to the accessibility policy for systems? Accessibility features found in web browsers,Which tools/resources do you use to ensure your content conforms to the accessibility policy for systems? None,Which tools/resources do you use to ensure your content conforms to the accessibility policy for systems? Other (please specify),What training has been provided to help staff understand and implement your accessibility policy for systems?  In-person training from other staff,What training has been provided to help staff understand and implement your accessibility policy for systems?  In-person training from external areas of the institution,What training has been provided to help staff understand and implement your accessibility policy for systems?  In-person training from outside of the institution,What training has been provided to help staff understand and implement your accessibility policy for systems?  Webinars/on-line courses,What training has been provided to help staff understand and implement your accessibility policy for systems?  Conferences/workshops,What training has been provided to help staff understand and implement your accessibility policy for systems?  Self-training,What training has been provided to help staff understand and implement your accessibility policy for systems?  None,What training has been provided to help staff understand and implement your accessibility policy for systems?  Other (please specify),"If your institution chooses to use Open Source Software (OSS), whether hosted locally or through a third party hosting agent, are those applications held to the same accessibility mandates as proprietary software?","If your institution chooses to use Open Source Software (OSS), whether hosted locally or through a third party hosting agent, are those applications held to the same accessibility mandates as proprietary software? Other (please specify)",How is your accessibility policy for systems enforced?
13,Doctoral University – Moderate Research Activity (R3),,,Yes,,"Yes - a formal policy, e.g. a written policy approved by relevant administration",,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,,,,All content must conform with the policy at this time,,University Accessibility Group,VPAT,Accessibility Statement,,,,In-person training from other staff,In-person training from external areas of the institution,,Webinars/on-line courses,,,,,Yes,,Each Website and resource is checked weekly to make sure we are meeting the policy.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Other ,Other (please specify),membership library,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Baccalaureate College—Arts & Sciences (259),,,Yes,,"Yes - a formal policy, e.g. a written policy approved by relevant administration",,,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,,,,All content must conform with the policy at this time,,All policies are reviewed annually. The librarian in charge of purchasing suggests changes.,,,,None,,,,,,,Self-training,,,Yes,,"The policy is not strict, stating that purchases must be compliant, ""when possible"" so enforcement comes in librarian judgement of content need v. level of accessibility.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Baccalaureate/Associate's College: Associates Dominant (149),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Journals,Monographs,Born digital or digitized archival/special collections materials,,Audio/video content,Other campus publications,Other (please specify),not really sure,,Americans with Disabilities Act,,State law governing my institution,,,,All content must conform with the policy at this time,,"Not really sure, Associate Dean works with me and we pass all policy through our legal department",,,,,,,,I am not involved in this process,,,,,,,,not sure,not sure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Baccalaureate College—Arts & Sciences (259),,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Audio/video content,Other campus publications,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Other ,Other (please specify),County Government Archives,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Born digital or digitized archival/special collections materials,,,,"Yes – an informal policy, e.g. rule of thumb to generally follow",,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,,,,1 – 2 years,,I am currently implementing the first generation of an accessibility policy for this institution.,WebAIM,WAVE Web Accessibility Evaluation Tool,,,,Accessibility features found in web browsers,,,,,,,,Self-training,,,Testing and re-deployment,Yes,,"Yes – an informal policy, e.g. rule of thumb to generally follow",,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,,,,1 – 2 years,,I am currently implementing the first generation of an accessibility policy for this institution.,WebAIM,WAVE Web Accessibility Evaluation Tool,,,,,,,,,,,,Self-training,,,Yes,,Testing and re-deployment
19,Associates College,,,Yes,,Other (please specify),Formal policy is being researched by committee on accessibility for college.,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,,Non-legal institution-wide mandate,,Other (please specify),not known,Accessibility committee will decide.,VPAT,Accessibility Statement,,,Occasional clarification when VPAT or accessibility statement is unclear,,,,,Conferences/workshops,,,Two staff are on the accessibility committee of the college; I am on the email for minutes/reports.,We do not contribute to OA Initiatives,,"All digital content, software, and hardware is passed by an IS team revieiwng it extensively for accessibility.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Master's College and University: Medium programs (M2),,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Theses and Dissertations,,,Born digital or digitized archival/special collections materials,,Audio/video content,Other campus publications,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Doctoral University – Highest Research Activity (R1),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Born digital or digitized archival/special collections materials,,Audio/video content,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Other ,Other (please specify),Public Library,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Born digital or digitized archival/special collections materials,,Audio/video content,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Doctoral University – Highest Research Activity (R1),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Born digital or digitized archival/special collections materials,,Audio/video content,Other campus publications,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Master's College and University: Smaller programs (M3),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,"Yes – an informal policy, e.g. rule of thumb to generally follow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Other ,Other (please specify),Government Archives,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Born digital or digitized archival/special collections materials,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Master's College and University: Larger programs (M1),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Theses and Dissertations,,,Born digital or digitized archival/special collections materials,,,,Other (please specify),content management systems and IR software is built to address accessibility issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Other ,Other (please specify),Community College/Academic,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Baccalaureate College—Arts & Sciences (259),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Theses and Dissertations,,,Born digital or digitized archival/special collections materials,Scholarly articles/publications,Audio/video content,Other campus publications,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Associates College,,,Yes,,"Yes - an informal policy, e.g. rule of thumb to generally follow",,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),State law governing my institution,Non-legal internal mandate,Non-legal institution-wide mandate,,Other (please specify),no timeline. We are applying our accessibility policy when evaluating all new and existing resources.,"The Library's Collections Committee reviews and makes recommendations, on an as-needed basis, to the Librarians' Committee composed of all faculty librarians and Library administration",VPAT,Accessibility Statement,Accessibility language required for content license,,,,,,Webinars/on-line courses,Conferences/workshops,Self-training,,,No,,"At this point, it isn't. It should be, the Institution is working toward it as is the Library but it is in its infancy stage.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,"Yes – an informal policy, e.g. rule of thumb to generally follow",,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),State law governing my institution,Non-legal internal mandate,Non-legal institution-wide mandate,,Other (please specify),not at this time,The Library's Administration and Full Time Librarians work collaboratively to create and update the policy.,WebAIM,,,Built in screen reader(s),,Accessibility features found in web browsers,,,,,In-person training from outside of the institution,Webinars/on-line courses,Conferences/workshops,Self-training,,,Yes,,We self monitor
30,Master's College and University: Medium programs (M2),,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Theses and Dissertations,Journals,Monographs,Born digital or digitized archival/special collections materials,Scholarly articles/publications,Audio/video content,,"Yes – an informal policy, e.g. rule of thumb to generally follow",,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),State law governing my institution,,,,1 – 2 years,,University Counsel,WebAIM,WAVE Web Accessibility Evaluation Tool,,,,,,,In-person training from other staff,,,Webinars/on-line courses,Conferences/workshops,Self-training,,,I am in charge of our institutional repository.  Everything that goes into the repository is accessible.  I mandate that before I upload it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Baccalaureate College—Arts & Sciences (259),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Theses and Dissertations,Journals,,Born digital or digitized archival/special collections materials,Scholarly articles/publications,,Other campus publications,Other (please specify),"Our college has an accessibility policy that applies to the website, but not necessarily to the institutional repository.",,,,,,Non-legal institution-wide mandate,,Other (please specify),"policy applies to the website, but not necessarily the IR",head of website development in the office of communications,,,,,Manually tabbing through webpages,,,,In-person training from other staff,,,,,,,,self-enforced,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Master's College and University: Larger programs (M1),,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Journals,,,Scholarly articles/publications,,Other campus publications,Other (please specify),The University may but the Library does not.,,,,,,,unsure,Other (please specify),unsure,unsure,,,,,,,None,,,,,,,,None,,unsure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Doctoral University – Highest Research Activity (R1),,,Yes,,"Yes - an informal policy, e.g. rule of thumb to generally follow",,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,Non-legal internal mandate,Non-legal institution-wide mandate,,Other (please specify),"No formal policy to ""implement""","Only recently developed, so can't say",VPAT,,Accessibility language required for content license,,Other accessibility-related language if no VPAT and won't accept our standard license language,,,,,,Self-training,,,Other (please specify),Don't know,Primarily through institutional license agreements for licensed content,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Other ,Other (please specify),Public Library,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Born digital or digitized archival/special collections materials,,Audio/video content,,"Yes – an informal policy, e.g. rule of thumb to generally follow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Master's College and University: Smaller programs (M3),,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Theses and Dissertations,Journals,,Born digital or digitized archival/special collections materials,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Doctoral University – Moderate Research Activity (R3),,,Yes,,"Yes - an informal policy, e.g. rule of thumb to generally follow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Doctoral University – Moderate Research Activity (R3),,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Doctoral University – Moderate Research Activity (R3),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Theses and Dissertations,,,Born digital or digitized archival/special collections materials,,Audio/video content,Other campus publications,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Other (please specify),Not sure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Master's College and University: Larger programs (M1),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Theses and Dissertations,,,Born digital or digitized archival/special collections materials,,Audio/video content,Other campus publications,"Yes - a formal policy, e.g. a written policy approved by relevant administration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Baccalaureate College—Diverse Fields (324),,,Yes,,"Yes - an informal policy, e.g. rule of thumb to generally follow",,,,,State law governing my institution,,Non-legal institution-wide mandate,,All content must conform with the policy at this time,,"Director, reviewed on an irregular basis",,,,None,,,,,,,,None,,We do not contribute to OA Initiatives,,Self policing,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,"Yes – an informal policy, e.g. rule of thumb to generally follow",,,,,State law governing my institution,,Non-legal institution-wide mandate,,All systems must conform with the policy at this time,,"Unsure, but probably Ashley Westbrook",,,,,,,None,,,,,,,,None,,We do not utilize OSS,,Only authorized people have access to systems
41,Other ,Other (please specify),State established consortium serving public higher education.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Theses and Dissertations,Journals,Monographs,Born digital or digitized archival/special collections materials,Scholarly articles/publications,Audio/video content,Other campus publications,Other (please specify),"Internal bank of training materials about how to test for accessibility.  Formal training available on request, and all in the Digital Services and Open Educational Resources have completed formal training.",Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,,,,Other (please specify),"When launching new products and services, those new launches are to conform to accessibility standards.","Software Design Analyst; updated on an ongoing basis, anecdotally, when training is requested and given.",,,,,Manually tabbing through webpages,Accessibility features found in web browsers,,Colour Contrast Analyser,In-person training from other staff,,,,,Self-training,,,,Yes,,Other (please specify),"Newly launched or acquired systems are supposed to be accessed for accessibility and at a minimum color contrast and navigation (by tabbing, etc.) is supposed to be corrected.  In general, we will internally fix what we can with settings, then test and report issues to the vendor or open source community.",Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,,,,Other (please specify),Newly launched products and services are supposed to conform to web accessibility requirements.,"Software Design Analyst; updated on an ongoing basis, anecdotally updated when training is requested and provided.",,,,,Manually tabbing through webpages,Accessibility features found in web browsers,,,In-person training from other staff,,,,,Self-training,,,Yes,,
42,Other ,Other (please specify),State Library Administrative Agency,Yes,,Other (please specify),State and Federal guidelines,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),State law governing my institution,,,Library Services and Technology Act (LSTA),Other (please specify),"We're supposed to be in compliance, but it is taking time",Not sure what the answer is to either question,,,,None,,,,,Webinars/on-line courses,,,,,Yes,,It isn't,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Other ,Other (please specify),Public Library,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Baccalaureate College—Diverse Fields (324),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Journals,Monographs,Born digital or digitized archival/special collections materials,Scholarly articles/publications,Audio/video content,Other campus publications,"Yes – an informal policy, e.g. rule of thumb to generally follow",,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,Non-legal internal mandate,,,Other (please specify),"No. The Library is a leader on campus for web accessibility. There is a lot of resistance on campus, so we're starting small with education, training, and ""low-hanging fruit"" before establishing concrete timelines",We have an informal policy that is maintained by myself and our Web Discovery Librarian who is a campus leader in web accessibility,WebAIM,WAVE Web Accessibility Evaluation Tool,,Built in screen reader(s),Manually tabbing through webpages,Accessibility features found in web browsers,,,In-person training from other staff,,,Webinars/on-line courses,Conferences/workshops,Self-training,,"""Other staff"" in this instance is our Web Discovery Librarian and myself","We don't enforce it. If we see content on the library's website that is not in compliance, we work with the content owner to educate them and help them remediate it",Yes,,"Yes – an informal policy, e.g. rule of thumb to generally follow",,Section 508 of the Rehabilitation Act of 1973,,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,Non-legal internal mandate,,,Other (please specify),"Again, we don't have a timeline in place, but we do consider accessibility when purchasing software",Myself and our Web Discovery Librarian,WebAIM,WAVE Web Accessibility Evaluation Tool,,Built in screen reader(s),Manually tabbing through webpages,Accessibility features found in web browsers,,,,,,Webinars/on-line courses,Conferences/workshops,Self-training,,,We do not utilize OSS,,"Because it is informal, it isn't currently enforced"
45,Other ,Other (please specify),School library,Yes,,"Yes - an informal policy, e.g. rule of thumb to generally follow",,,,,,Non-legal internal mandate,,,All content must conform with the policy at this time,,,,,,None,,,,,,,,None,,We do not contribute to OA Initiatives,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Master's College and University: Larger programs (M1),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Born digital or digitized archival/special collections materials,,Audio/video content,Other campus publications,"Yes - a formal policy, e.g. a written policy approved by relevant administration",,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,World Wide Web Consortium’s Web Content Accessibility Guidelines (WCAG),,,Non-legal institution-wide mandate,,Other (please specify),All new content must conform to policy. Old content must be made accessible at request,unknown,WebAIM,WAVE Web Accessibility Evaluation Tool,,Built in screen reader(s),,Accessibility features found in web browsers,,,,,,Webinars/on-line courses,,Self-training,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Baccalaureate College—Arts & Sciences (259),,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Associates College,,,Yes,,"Yes - an informal policy, e.g. rule of thumb to generally follow",,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,,,,,,Other (please specify),Not sure,,VPAT,Accessibility Statement,,,,In-person training from other staff,,,,,,,,We do not contribute to OA Initiatives,,It isn't enforced at this time,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Associates College,,,Yes,,Other (please specify),Working on it.,Section 508 of the Rehabilitation Act of 1973,Americans with Disabilities Act,,,,,,Other (please specify),I don't know that a completion date has been established yet.,"Librarians, every 1-3 years",VPAT,,,,,,In-person training from external areas of the institution,,Webinars/on-line courses,Conferences/workshops,,,,We do not contribute to OA Initiatives,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Other ,Other (please specify),Public Library Archive,Yes,,"Yes - an informal policy, e.g. rule of thumb to generally follow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Baccalaureate College—Arts & Sciences (259),,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Theses and Dissertations,,,Born digital or digitized archival/special collections materials,,Audio/video content,Other campus publications,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
